HGVS	dbSNP	gnomAD frequency	ClinVar_significance	Review_status
NC_000017.11:g.50166040_50166049del		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000017.11:g.50166041A>G		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50166060G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50166064TCCTC[1]		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50166066dup		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50166078G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50166078G>C		0.0	Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50166078G>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50166079C>G		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50166080A>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167391_50167392insG		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167400C>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50167401del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167414_50167420del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167415dup		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167416dup		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50167416A>T		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000017.11:g.50167418C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167422T>C		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50167425T>C		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50167430C>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167430C>T		0.0	Likely_pathogenic	reviewed_by_expert_panel
NC_000017.11:g.50167431G>A		0.0	Likely_pathogenic	reviewed_by_expert_panel
NC_000017.11:g.50167435del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167443A>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167445_50167446insT		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167449del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167462_50167465dup		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50167488G>A		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50167489T>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167489T>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167580A>G		0.0	Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50167585del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167587_50167588del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167592del		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50167607dup		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50167608T>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167610C>A		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000017.11:g.50167610C>G		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50167618A>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167627del		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50167627G>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167633C>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167644del		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000017.11:g.50167645_50167911del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167641C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167642C>G		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167644C>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50167645G>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167649del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167648_50167649delinsC		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167650C>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50167653dup		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50167653C>T		0.0	Pathogenic	reviewed_by_expert_panel
NC_000017.11:g.50167657_50167658delinsGA		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50167660_50167661insA		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50167662C>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167665C>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167665C>T		0.0	Likely_pathogenic	reviewed_by_expert_panel
NC_000017.11:g.50167674dup		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167686_50167693dup		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167693A>G		0.0	Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50167694C>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167695G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50167713G>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167714A>G		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000017.11:g.50167716C>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167716C>G		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167716C>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50167717G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50167720G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167731A>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167732T>C		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50167737G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167737G>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167947_50167953del		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50167945A>G		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50167949CA[1]		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50167954_50167964del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167956_50167959dup		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50167963G>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50167982_50167986dup		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50168005T>C		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50168011dup		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50168020G>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50168021T>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50168372A>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50168373G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50168379dup		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50168379del		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50168390C>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50168390C>G		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50168391C>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50168396del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50168397G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50168397G>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50168398A>G		0.0	Pathogenic	no_assertion_criteria_provided
NC_000017.11:g.50168452del		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50168460C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50168468_50168469del		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000017.11:g.50168476dup		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50168476del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50168477del		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50168476_50168477delinsT		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50168499C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50168512T>C		0.0	Pathogenic	no_assertion_criteria_provided
NC_000017.11:g.50168518del		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50168538del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50168547del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50168546_50168547del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50168562del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50168562C>T		0.0	Pathogenic	reviewed_by_expert_panel
NC_000017.11:g.50168565A>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50168570dup		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50168568G>T		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000017.11:g.50168573del		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000017.11:g.50168573G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50168577G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50169090A>C		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000017.11:g.50169090A>T		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000017.11:g.50169093del		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.50169091G>A		0.0	Pathogenic	reviewed_by_expert_panel
NC_000017.11:g.50169091G>C		0.0	Pathogenic	criteria_provided,_single_submitter
