HGVS	dbSNP	gnomAD frequency	ClinVar_significance	Review_status
NC_000004.12:g.54657771G>A		0.0	Benign	criteria_provided,_single_submitter
NC_000004.12:g.54657994G>T		0.0	Benign/Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54658006G>T		0.0	Likely_benign	no_assertion_criteria_provided
NC_000004.12:g.54658023C>G		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54658026T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54658026T>G		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54658029C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54658029C>G		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54658029C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54658032C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54658035C>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54658035C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54658050C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54658051G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54658054C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54658056G>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54658059C>G		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54658059C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54658060C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54658062A>G		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54658063C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54658065G>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54658071C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54658071C>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54658071C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54658077G>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54658086_54658099dup		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54658085G>A		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54658088C>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54658089A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54658091del		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54658090C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54658090C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54658091C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54658092G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54658094G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54658096C>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54658100C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54658100C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54658101A>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54658137T>C		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54658171A>G		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54658297A>G		0.0	Benign	criteria_provided,_single_submitter
NC_000004.12:g.54658366C>G		0.0	Benign	criteria_provided,_single_submitter
NC_000004.12:g.54695382T>C		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54695491_54695493del		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54695492G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54695492G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54695493A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54695493A>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54695494T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54695495T>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54695497T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54695497T>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54695498G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54695502T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54695502T>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54695504C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54695506T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54695508G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54695508G>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54695513C>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54695513C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54695516T>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54695519T>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54695522A>G		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54695525A>G		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54695525A>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54695537A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54695540G>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54695546G>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54695549T>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.54695552A>G		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54695555A>G		0.0	Likely_benign	criteria_provided,_single_submitter
