HGVS	dbSNP	gnomAD frequency	ClinVar_significance	Review_status
NC_000007.14:g.143316231C>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143316244del		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143316248del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143316249C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143316262_143321163del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143316259G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143316273dup		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143316273del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143316303_143316318del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143316311C>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143316334del		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143316339C>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143316372_143316388del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143316386del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143316394_143316400del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143316393G>A		0.0	Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143316395A>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143319753A>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143319772del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143319774_143319789del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143319776C>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143319783C>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143319794C>T		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143319838G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143319862T>G		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143319871T>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143320662A>C		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143320663G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143320678del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143320708del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143320712A>G		0.0	Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143320716G>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143320722del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143320740dup		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143320744A>G		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143320757G>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143320771T>G		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143320772_143320773delinsGGA		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143320773C>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143320773delinsGGA		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143320793dup		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143320796G>A		0.0	Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143321310_143321395del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143321364_143321368del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143321364G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143321375dup		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143321374G>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143321381C>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143321400del		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143321406del		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143321409C>T		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143321411G>C		0.0	Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143321421T>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143321449del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143321490del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143321494G>C		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143321495T>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143321715G>C		0.0	Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143321721G>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143321723A>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143321729G>A		0.0	Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143321730A>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143321744C>G		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143321745T>C		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143321750G>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143321755dup		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143321770C>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143321794del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143321796A>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143321837G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143321841G>A		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143321845A>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143321849G>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143323310del		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143323308G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143323308G>C		0.0	Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143323314del		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143323338T>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143323354A>T		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143323363del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143323374C>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143323374C>G		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143323383T>A		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143323386G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143323387G>A		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143323389A>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143324414C>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143324422C>G		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143324428del		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143324442C>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143324448G>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143324451G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143324456G>A		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143324468T>C		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143324468T>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143324469dup		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143324486C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143324492G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143330770A>G		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143330771G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143330772G>A		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143330772G>T		0.0	Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143330777C>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143330778T>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143330778T>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143330787T>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143330788C>G		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143330789G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143330789G>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143330789G>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143330809del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143330810G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143330811C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143330816_143330817delinsTA		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143330816_143330818delinsTGA		0.0	Pathogenic	no_assertion_criteria_provided
NC_000007.14:g.143330820dup		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143330827dup		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143330826G>A		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143330831G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143330834T>C		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143330836C>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143330838T>C		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143330847C>T		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143330855G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143330856C>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143330860_143330878del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143330864T>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143330867C>T		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143330868G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143330868G>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143330883G>A		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000007.14:g.143330884G>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143330897G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143330898G>A		0.0	Pathogenic	no_assertion_criteria_provided
NC_000007.14:g.143330898G>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143331230A>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143331235C>A		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000007.14:g.143331241dup		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143331243G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143331243G>T		0.0	Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143331262T>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143331264C>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143331265G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143331290_143331291del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143331296_143331308del		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143331315G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143331317G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143331318T>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143331585del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143331586dup		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000007.14:g.143331597del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143331615C>T		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143332409T>C		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143332431T>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143332431T>G		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143332435_143332439del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143332483G>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143332487A>C		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143332490T>G		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143332499_143332511del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143332496C>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143332498G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143332499G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143332723G>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143332727A>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143332733dup		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143332733C>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143332736G>T		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143332741dup		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143332752del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143332750TTTG[1]		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143332753del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143332759del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143332769T>C		0.0	Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143332770G>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143332770G>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143332771G>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143332780CG[1]		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143332787G>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143332819del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143332829dup		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143332829del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143332865G>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143332874G>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143332874G>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143339258G>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143339288_143339301del		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143339289C>A		0.0	Pathogenic	no_assertion_criteria_provided
NC_000007.14:g.143339289C>T		0.0	Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143339290C>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143339290C>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143339295_143339300del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143339295G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143339295G>C		0.0	Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143339301T>C		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143339304A>G		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143339305T>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143339308del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143339323G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143339323G>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143339324del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143339509A>G		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143339511G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143339517C>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143339523G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143339527G>T		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143339534G>A		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143339548dup		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143339601_143339602del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143339607G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143339619T>G		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143339622G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143341938del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143341938C>T		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143341940del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143341953T>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143341958CA[2]		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143341961A>G		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000007.14:g.143341988G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143341988G>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143341990_143341991del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143341994A>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143341995C>G		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143341995C>T		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143341996G>A		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143342001A>G		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143342003A>T		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143342008_143342009dup		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143342009C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143342012A>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143342013T>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143342025T>C		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143342045A>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.143342130G>A		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
