HGVS	dbSNP	gnomAD frequency	ClinVar_significance	Review_status
NC_000007.14:g.143315964G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316078T>G		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143316192C>T		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143316197C>G		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143316197_143316199delinsGGA		0.0	Benign	criteria_provided,_single_submitter
NC_000007.14:g.143316198T>G		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143316199C>A		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143316221A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316227G>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316230A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316236G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316238G>A		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143316245T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316269C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316281G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316298A>C		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143316311C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316317G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316320C>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316320C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316332G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316332G>C		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143316344C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316347G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316356G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316359T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316365C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316377C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316380C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316386C>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316389A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316400G>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316402T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316403C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316404T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316410G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143316410G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143319478C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143319741C>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143319743C>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143319763C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143319778A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143319781C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143319793G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143319802A>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143319811C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143319818A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143319835C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143319835C>T		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143319847G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143319859C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143319888G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143319889A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143319902T>A		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.143320494G>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143320555CT[17]		0.0	Benign	criteria_provided,_single_submitter
NC_000007.14:g.143320555CT[18]		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143320555CT[20]		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143320555CT[22]		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143320555CT[15]		0.0	Benign	criteria_provided,_single_submitter
NC_000007.14:g.143320555CT[14]		0.0	Benign	criteria_provided,_single_submitter
NC_000007.14:g.143320603A>T		0.0	Benign	criteria_provided,_single_submitter
NC_000007.14:g.143320620_143320646del		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143320627T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000007.14:g.143320644T>G		0.0	Likely_benign	criteria_provided,_single_submitter
