HGVS	dbSNP	gnomAD frequency	ClinVar_significance	Review_status
NC_000012.12:g.25205484T>C		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25205491_25205492dup		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25205716A>T		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25205735_25205736del		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25205736T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25205894T>G		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25206009T>C		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25206035T>G		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25206121dup		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25206293A>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25206394A>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25206418G>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25206532del		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25206643C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25206907T>C		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25207290A>C		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25207424G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25207526dup		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25207611T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25208030A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25208140G>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25208157_25208158del		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25208157T>C		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25208161T>C		0.0	Benign	criteria_provided,_single_submitter
NC_000012.12:g.25208179dup		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25208208A>G		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25208255A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25208377_25208379del		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25208712T>C		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25208733C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25208822C>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25208971A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25209283A>G		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25209618A>C		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25209782G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25209804T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25209813T>C		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25209822CTT[1]		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25209831CTT[1]		0.0	Benign	reviewed_by_expert_panel
NC_000012.12:g.25209843A>G		0.0	Benign	reviewed_by_expert_panel
NC_000012.12:g.25209855C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25209864A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25209879T>C		0.0	Benign	no_assertion_criteria_provided
NC_000012.12:g.25209881G>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25209882A>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25209885T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25209888T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25209897G>C		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25209906A>C		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25209909A>G		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25209920C>T		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25209921A>G		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25209922T>C		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25209923A>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25209924A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25209925A>G		0.0	Likely_benign	reviewed_by_expert_panel
NC_000012.12:g.25209929T>C		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25210151C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25215150T>C		0.0	Benign	criteria_provided,_single_submitter
NC_000012.12:g.25215238C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25215432C>T		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25215453G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25215476C>T		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25215486T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25215511C>G		0.0	Likely_benign	no_assertion_criteria_provided
NC_000012.12:g.25215515A>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25215528%3D		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25215528T>C		0.0	Benign	criteria_provided,_single_submitter
NC_000012.12:g.25215563G>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25215784A>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25225292_25225306del		0.0	Benign	criteria_provided,_single_submitter
NC_000012.12:g.25225292_25225308del		0.0	Benign	criteria_provided,_single_submitter
NC_000012.12:g.25225292_25225310del		0.0	Benign	criteria_provided,_single_submitter
NC_000012.12:g.25225292_25225314del		0.0	Benign	criteria_provided,_single_submitter
NC_000012.12:g.25225292_25225316del		0.0	Benign	criteria_provided,_single_submitter
NC_000012.12:g.25225310A>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25225316A>T		0.0	Benign	criteria_provided,_single_submitter
NC_000012.12:g.25225318A>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25225522T>C		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25225574T>C		0.0	Benign	criteria_provided,_single_submitter
NC_000012.12:g.25225598T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25225601C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25225603G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25225606_25225607del		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25225620T>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25225626T>C		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25225629T>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25225632T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25225638A>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25225647A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25225653A>G		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25225662T>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25225689T>C		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25225692T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25225698A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25225706A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25225713T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25225716A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25225728G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25225749G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25225767T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25225781del		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25225790dup		0.0	Benign	criteria_provided,_single_submitter
NC_000012.12:g.25225790del		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25225791G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25225793TA[3]		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25225901A>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25225935T>G		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25226084T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25227137T>A		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25227137T>G		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25227160A>C		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25227216T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25227220C>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25227223T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25227227A>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25227263A>C		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.25227263A>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.25227269A>G		0.0	Likely_benign	criteria_provided,_single_submitter
