HGVS	dbSNP	gnomAD frequency	ClinVar_significance	Review_status
NC_000012.12:g.111781924A>G		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.111783212C>A		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.111783219G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.111783251C>T		0.0	Benign	criteria_provided,_single_submitter
NC_000012.12:g.111785259C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.111789919C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.111790445G>A		0.0	Benign	no_assertion_criteria_provided
NC_000012.12:g.111791355C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.111792115T>C		0.0	Benign	criteria_provided,_single_submitter
NC_000012.12:g.111792609G>A		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000012.12:g.111792743C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.111799896C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000012.12:g.111799980G>A		0.0	Benign	criteria_provided,_single_submitter
NC_000012.12:g.111803916G>A		0.0	Benign	criteria_provided,_single_submitter
