HGVS	dbSNP	gnomAD frequency	ClinVar_significance	Review_status
NC_000019.10:g.55132962T>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.55134074T>A		0.0	Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000019.10:g.55134077G>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.55134092C>G		0.0	Pathogenic	no_assertion_criteria_provided
NC_000019.10:g.55134121dup		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.55134190C>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.55137103dup		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.55137102C>T		0.0	Pathogenic	no_assertion_criteria_provided
NC_000019.10:g.55137104_55137107delinsACAGCACTA		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.55137108_55137109insACTAC		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000019.10:g.55137176C>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.55137212_55137215del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.55137214T>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.55137960C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.55138014del		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000019.10:g.55138031del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.55138047C>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.55140882C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.55140917del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.55140936C>A		0.0	Pathogenic	no_assertion_criteria_provided
NC_000019.10:g.55140947G>C		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.55140962T>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.55141185C>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000019.10:g.55141208A>G		0.0	Pathogenic/Likely_pathogenic	no_assertion_criteria_provided
NC_000019.10:g.55141220_55141229del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.55141301T>G		0.0	Pathogenic	no_assertion_criteria_provided
NC_000019.10:g.55145555dup		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.55146466del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.55146533G>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.55146694dup		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.55147022C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.55147142C>A		0.0	Pathogenic	no_assertion_criteria_provided
NC_000019.10:g.55147147_55147153dup		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000019.10:g.55147157T>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
