HGVS	dbSNP	gnomAD frequency	ClinVar_significance	Review_status
NC_000002.12:g.151485495_151485496del		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485775G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485787G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485796G>A		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000002.12:g.151485796G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485798T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485802G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485811C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485814C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485816C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485817A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485823A>G		0.0	Benign	criteria_provided,_single_submitter
NC_000002.12:g.151485838A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485859G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485862G>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485865A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485868T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485874C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485875T>C		0.0	Likely_benign	reviewed_by_expert_panel
NC_000002.12:g.151485886C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485889A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485895A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485900C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485907A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485925G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485939C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485940G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485943G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485944G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485945G>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485949del		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485953dup		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000002.12:g.151485950A>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485953A>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151485967A>G		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000002.12:g.151489957T>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151489957T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151489958G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151489961A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151489961A>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151489980A>C		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000002.12:g.151489989A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151489992T>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151489998G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490007C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490013C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490016T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490025A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490028T>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490031A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490032G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490037T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490038C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490043T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490046T>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490052C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490067A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490087dup		0.0	Benign	criteria_provided,_single_submitter
NC_000002.12:g.151490087del		0.0	Benign	criteria_provided,_single_submitter
NC_000002.12:g.151490081A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490085_151490088del		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490087_151490088del		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490092dup		0.0	Benign	criteria_provided,_single_submitter
NC_000002.12:g.151490087A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490090G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490091G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490091G>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490092G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490093C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490095A>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490356C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490357del		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490357G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490363C>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490379G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490382T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000002.12:g.151490382T>G		0.0	Likely_benign	criteria_provided,_single_submitter
