HGVS	dbSNP	gnomAD frequency	ClinVar_significance	Review_status
NC_000001.11:g.229431501A>G		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431503A>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431506C>A		0.0	Likely_pathogenic	reviewed_by_expert_panel
NC_000001.11:g.229431506C>G		0.0	Pathogenic	reviewed_by_expert_panel
NC_000001.11:g.229431508T>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431510T>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431514G>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431527G>A		0.0	Pathogenic	reviewed_by_expert_panel
NC_000001.11:g.229431541del		0.0	Likely_pathogenic	reviewed_by_expert_panel
NC_000001.11:g.229431558T>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431558T>G		0.0	Pathogenic	no_assertion_criteria_provided
NC_000001.11:g.229431559C>A		0.0	Likely_pathogenic	reviewed_by_expert_panel
NC_000001.11:g.229431573A>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431575G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431579A>G		0.0	Likely_pathogenic	reviewed_by_expert_panel
NC_000001.11:g.229431584G>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431584G>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431590A>T		0.0	Likely_pathogenic	reviewed_by_expert_panel
NC_000001.11:g.229431625C>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431626T>G		0.0	Likely_pathogenic	reviewed_by_expert_panel
NC_000001.11:g.229431628del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431629G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.229431629G>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431629G>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431630G>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431632G>A		0.0	Likely_pathogenic	reviewed_by_expert_panel
NC_000001.11:g.229431632G>C		0.0	Pathogenic	reviewed_by_expert_panel
NC_000001.11:g.229431633G>A		0.0	Pathogenic	reviewed_by_expert_panel
NC_000001.11:g.229431720C>A		0.0	Pathogenic	reviewed_by_expert_panel
NC_000001.11:g.229431727C>G		0.0	Pathogenic	no_assertion_criteria_provided
NC_000001.11:g.229431731A>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431775del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431786G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431791A>C		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431822C>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431830T>A		0.0	Pathogenic	no_assertion_criteria_provided
NC_000001.11:g.229431843C>G		0.0	Pathogenic	reviewed_by_expert_panel
NC_000001.11:g.229431843C>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431848T>C		0.0	Pathogenic	no_assertion_criteria_provided
NC_000001.11:g.229431857A>C		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.229431865G>C		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431867T>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431869T>C		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431870A>G		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431877C>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431890G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.229431890G>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431893G>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431899A>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431902C>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.229431903C>A		0.0	Pathogenic	no_assertion_criteria_provided
NC_000001.11:g.229431904T>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431994C>A		0.0	Pathogenic	no_assertion_criteria_provided
NC_000001.11:g.229431994C>G		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.229431994C>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229431999A>G		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432007C>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432008T>C		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432020T>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.229432029C>T		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.229432030G>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432033A>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432035C>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432036G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432036G>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432039C>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432040G>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432044C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432063C>G		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.229432063C>T		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.229432079G>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432092del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432098G>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432116A>G		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.229432117T>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432120C>A		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.229432120C>G		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432126C>G		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.229432142G>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432156C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432182T>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432185G>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432268A>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432269C>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432270C>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.229432275G>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432287T>C		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432288A>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432293C>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432294G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432295C>A		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.229432297_229432305del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432297C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432300T>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432329T>C		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432330C>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432330C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432333G>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432333G>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.229432335C>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432346del		0.0	Pathogenic	reviewed_by_expert_panel
NC_000001.11:g.229432345C>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432345C>G		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432350C>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432350C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432357T>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432361_229432391del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432365G>A		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000001.11:g.229432371G>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432377C>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432380T>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432392del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432393C>A		0.0	Pathogenic	no_assertion_criteria_provided
NC_000001.11:g.229432393C>G		0.0	Pathogenic	no_assertion_criteria_provided
NC_000001.11:g.229432393C>T		0.0	Pathogenic	reviewed_by_expert_panel
NC_000001.11:g.229432397G>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432410_229432427del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432408C>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.229432420C>G		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432425A>G		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432426C>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432426C>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432433T>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432433T>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432561G>C		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432562T>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432567C>A		0.0	Likely_pathogenic	reviewed_by_expert_panel
NC_000001.11:g.229432568C>G		0.0	Likely_pathogenic	reviewed_by_expert_panel
NC_000001.11:g.229432568C>T		0.0	Likely_pathogenic	reviewed_by_expert_panel
NC_000001.11:g.229432570G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.229432570G>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432574del		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.229432575G>T		0.0	Likely_pathogenic	reviewed_by_expert_panel
NC_000001.11:g.229432580G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.229432583A>G		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.229432585A>G		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432591G>C		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.229432591G>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
