HGVS	dbSNP	gnomAD frequency	ClinVar_significance	Review_status
NC_000007.14:g.140734622C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.140734766A>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.140734770_140734775del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.140739813T>C		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.140739814G>C		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.140749365A>C		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.140749365A>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.140749373G>A		0.0	Pathogenic	no_assertion_criteria_provided
NC_000007.14:g.140753325_140753336delinsCAT		0.0	Pathogenic	no_assertion_criteria_provided
NC_000007.14:g.140753333T>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.140753333T>G		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.140753334_140753336del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.140753334T>C		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.140753334T>G		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.140753336A>C		0.0	Pathogenic	reviewed_by_expert_panel
NC_000007.14:g.140753337C>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.140753337C>G		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.140753337C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.140753340_140753342dup		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.140753339G>A		0.0	Pathogenic	reviewed_by_expert_panel
NC_000007.14:g.140753339G>C		0.0	Pathogenic	reviewed_by_expert_panel
NC_000007.14:g.140753345A>C		0.0	Pathogenic	no_assertion_criteria_provided
NC_000007.14:g.140753346G>C		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.140753348C>A		0.0	Pathogenic	reviewed_by_expert_panel
NC_000007.14:g.140753350A>C		0.0	Pathogenic	reviewed_by_expert_panel
NC_000007.14:g.140753350A>T		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.140753352A>G		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.140753353A>C		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000007.14:g.140753354T>A		0.0	Pathogenic	reviewed_by_expert_panel
NC_000007.14:g.140753355C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.140753355_140753356delinsTC		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000007.14:g.140753370T>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.140753386A>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.140753392A>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.140753393T>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.140754187T>C		0.0	Pathogenic	reviewed_by_expert_panel
NC_000007.14:g.140754190T>C		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.140754206G>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.140754208G>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.140754233A>C		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.140754233A>T		0.0	Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.140777006C>G		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.140777011C>T		0.0	Likely_pathogenic	reviewed_by_expert_panel
NC_000007.14:g.140777013C>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.140777013C>G		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.140777014C>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.140777014C>G		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.140777015A>G		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.140777015A>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.140777032A>C		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.140777032A>G		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.140777032A>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.140777995G>A		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.140778003_140778005dup		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.140778006T>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.140778006T>C		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.140778006T>G		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000007.14:g.140778007C>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
