HGVS	dbSNP	gnomAD frequency	ClinVar_significance	Review_status
NC_000010.11:g.87862043A>T		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87862096T>C		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87862106G>C		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87862430A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87862431A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87862876A>G		0.0	Benign	criteria_provided,_single_submitter
NC_000010.11:g.87863158T>C		0.0	Benign	reviewed_by_expert_panel
NC_000010.11:g.87863274_87863285del		0.0	Likely_benign	reviewed_by_expert_panel
NC_000010.11:g.87863299C>T		0.0	Likely_benign	reviewed_by_expert_panel
NC_000010.11:g.87863301G>T		0.0	Likely_benign	no_assertion_criteria_provided
NC_000010.11:g.87863327C>T		0.0	Likely_benign	reviewed_by_expert_panel
NC_000010.11:g.87863384T>C		0.0	Benign	criteria_provided,_single_submitter
NC_000010.11:g.87863385C>T		0.0	Likely_benign	reviewed_by_expert_panel
NC_000010.11:g.87863409C>G		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87863409C>T		0.0	Likely_benign	no_assertion_criteria_provided
NC_000010.11:g.87863410C>G		0.0	Benign	reviewed_by_expert_panel
NC_000010.11:g.87863411C>G		0.0	Benign	criteria_provided,_single_submitter
NC_000010.11:g.87863420C>T		0.0	Benign	criteria_provided,_single_submitter
NC_000010.11:g.87863442C>A		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87863443C>A		0.0	Likely_benign	reviewed_by_expert_panel
NC_000010.11:g.87863444C>G		0.0	Benign	criteria_provided,_single_submitter
NC_000010.11:g.87863494G>A		0.0	Likely_benign	reviewed_by_expert_panel
NC_000010.11:g.87863494G>C		0.0	Likely_benign	reviewed_by_expert_panel
NC_000010.11:g.87863522G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87863534G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87863538_87863555dup		0.0	Likely_benign	no_assertion_criteria_provided
NC_000010.11:g.87863560T>C		0.0	Likely_benign	reviewed_by_expert_panel
NC_000010.11:g.87863566G>A		0.0	Benign	reviewed_by_expert_panel
NC_000010.11:g.87863633C>T		0.0	Likely_benign	reviewed_by_expert_panel
NC_000010.11:g.87863735G>A		0.0	Likely_benign	reviewed_by_expert_panel
NC_000010.11:g.87863795C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87863807_87863818del		0.0	Benign	criteria_provided,_single_submitter
NC_000010.11:g.87863824C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87863848C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87863893C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87863924GGC[6]		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87863924GGC[2]		0.0	Likely_benign	no_assertion_criteria_provided
NC_000010.11:g.87863936G>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87863936_87863937delinsTT		0.0	Likely_benign	no_assertion_criteria_provided
NC_000010.11:g.87863956C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87863957G>C		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87863957G>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87863958G>A		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87863958G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87863958G>T		0.0	Likely_benign	no_assertion_criteria_provided
NC_000010.11:g.87863959G>A		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87863970GGC[6]		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87863970GGC[7]		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87863970GGC[4]		0.0	Likely_benign	no_assertion_criteria_provided
NC_000010.11:g.87863970GGC[3]		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87863985C>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864003A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864004G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864010G>C		0.0	Likely_benign	no_assertion_criteria_provided
NC_000010.11:g.87864015T>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864032T>C		0.0	Likely_benign	no_assertion_criteria_provided
NC_000010.11:g.87864051C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864072T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864073C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864075A>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864087A>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864101_87864102dup		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864103del		0.0	Benign	no_assertion_criteria_provided
NC_000010.11:g.87864103_87864104insGG		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864104del		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87864121C>T		0.0	Likely_benign	no_assertion_criteria_provided
NC_000010.11:g.87864127G>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864136C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864141C>T		0.0	Likely_benign	no_assertion_criteria_provided
NC_000010.11:g.87864142G>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864144G>C		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87864148C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864151C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864157A>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864157A>G		0.0	Likely_benign	no_assertion_criteria_provided
NC_000010.11:g.87864157A>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864163C>A		0.0	Likely_benign	no_assertion_criteria_provided
NC_000010.11:g.87864169C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864178G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864180A>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864181G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864186C>T		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87864190C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864190C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864205G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864205G>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864217G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864218T>C		0.0	Likely_benign	no_assertion_criteria_provided
NC_000010.11:g.87864239_87864247dup		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864232C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864241C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864247C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864250G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864295C>G		0.0	Likely_benign	no_assertion_criteria_provided
NC_000010.11:g.87864295C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864318A>G		0.0	Benign	criteria_provided,_single_submitter
NC_000010.11:g.87864322G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864328G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864343G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864346G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864458A>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87864460G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864461C>G		0.0	Benign	reviewed_by_expert_panel
NC_000010.11:g.87864475A>C		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87864475A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864475A>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864478C>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87864478C>G		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87864478C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87864481C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864481C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87864484C>T		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87864487A>G		0.0	Likely_benign	reviewed_by_expert_panel
NC_000010.11:g.87864490G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864493C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864493C>T		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87864499C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864500A>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864502A>G		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87864505C>T		0.0	Benign	criteria_provided,_single_submitter
NC_000010.11:g.87864508A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864512A>C		0.0	Benign	criteria_provided,_single_submitter
NC_000010.11:g.87864514A>G		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87864517T>C		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87864520A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864523G>A		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87864526T>C		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87864529A>C		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87864529A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864529A>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864532C>T		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87864535C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87864536T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864541C>T		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87864544G>A		0.0	Likely_benign	reviewed_by_expert_panel
NC_000010.11:g.87864555A>G		0.0	Likely_benign	reviewed_by_expert_panel
NC_000010.11:g.87864557T>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864558T>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864559C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87864562C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87864563G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864563G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864563G>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000010.11:g.87864564G>C		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000010.11:g.87864566T>A		0.0	Likely_benign	criteria_provided,_single_submitter
