HGVS	dbSNP	gnomAD frequency	ClinVar_significance	Review_status
NC_000001.11:g.97079133T>A		0.0	Pathogenic	no_assertion_criteria_provided
NC_000001.11:g.97082329C>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.97082394A>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.97082402del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.97082406dup		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.97082449G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.97082471C>T		0.0	Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.97098488C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.97098502del		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000001.11:g.97098508del		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000001.11:g.97098512del		0.0	Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.97098523_97098524del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.97098533T>A		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000001.11:g.97098575T>A		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000001.11:g.97098581C>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.97098602G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.97098605C>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.97193068C>T		0.0	Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.97193104dup		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000001.11:g.97193112del		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.97193137G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.97193145del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000001.11:g.97193201G>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
