HGVS	dbSNP	gnomAD frequency	ClinVar_significance	Review_status
NC_000022.11:g.42126611%3D		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000022.11:g.42126611C>G		0.0	Benign|other	criteria_provided,_multiple_submitters,_no_conflicts
NC_000022.11:g.42126736G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000022.11:g.42126963C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000022.11:g.42127556T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000022.11:g.42127608C>T		0.0	Likely_benign|other	criteria_provided,_multiple_submitters,_no_conflicts
NC_000022.11:g.42127611C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000022.11:g.42127612G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000022.11:g.42127803C>T		0.0	Likely_benign|drug_response|other	criteria_provided,_multiple_submitters,_no_conflicts
NC_000022.11:g.42127852C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000022.11:g.42127856T>G		0.0	Likely_benign|other	criteria_provided,_multiple_submitters,_no_conflicts
NC_000022.11:g.42127941%3D		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000022.11:g.42127941G>A		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000022.11:g.42128176_42128178del		0.0	Likely_benign|other	criteria_provided,_multiple_submitters,_no_conflicts
NC_000022.11:g.42128242del		0.0	Likely_benign|other	criteria_provided,_multiple_submitters,_no_conflicts
NC_000022.11:g.42128254G>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000022.11:g.42128308C>A		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000022.11:g.42128945C>T		0.0	Likely_benign|drug_response|other	criteria_provided,_multiple_submitters,_no_conflicts
NC_000022.11:g.42129033C>A		0.0	Likely_benign|other	criteria_provided,_multiple_submitters,_no_conflicts
NC_000022.11:g.42129033C>T		0.0	Likely_benign|other	criteria_provided,_multiple_submitters,_no_conflicts
NC_000022.11:g.42129036A>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000022.11:g.42129042T>C		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000022.11:g.42129084del		0.0	Benign/Likely_benign|drug_response|other	criteria_provided,_multiple_submitters,_no_conflicts
NC_000022.11:g.42129722C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000022.11:g.42129770G>A		0.0	Likely_benign|other	criteria_provided,_multiple_submitters,_no_conflicts
NC_000022.11:g.42129910C>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000022.11:g.42130655dup		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000022.11:g.42130668C>T		0.0	Likely_benign|other	criteria_provided,_multiple_submitters,_no_conflicts
NC_000022.11:g.42130692G>A		0.0	Likely_benign|drug_response|other	criteria_provided,_multiple_submitters,_no_conflicts
NC_000022.11:g.42130761C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000022.11:g.42130786C>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000022.11:g.42130929T>C		0.0	Likely_benign	criteria_provided,_single_submitter
