HGVS	dbSNP	gnomAD frequency	ClinVar_significance	Review_status
NC_000004.12:g.54658035_54658036del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54658044dup		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54658046_54658047insG		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54695528TG[1]		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54695556TCCA[4]		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54695552_54695553insT		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54695681del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54695697del		0.0	Pathogenic	no_assertion_criteria_provided
NC_000004.12:g.54698310del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54698312_54698315del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54698335del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54698514C>T		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54698550del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54699683del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54699753GA[1]		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54699763_54699766del		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54699767G>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54703722A>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54703728_54703732del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54703784_54703800del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54703795_54703799dup		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54703807_54704541del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54707131del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54707172_54707175dup		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54707208C>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54709434G>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54709476dup		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54723583G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54723605_54723606insAA		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54723633dup		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54723631C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54725992C>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54726004del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54726036A>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54726051G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54726051G>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54726052del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54726052T>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54727217G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54727275C>A		0.0	Pathogenic	no_assertion_criteria_provided
NC_000004.12:g.54727324G>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54727416_54727442del		0.0	Pathogenic	no_assertion_criteria_provided
NC_000004.12:g.54727417_54727431del		0.0	Pathogenic	no_assertion_criteria_provided
NC_000004.12:g.54727420_54727434del		0.0	Pathogenic	no_assertion_criteria_provided
NC_000004.12:g.54727420_54727440del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54727421_54727428delinsAA		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54727433_54727440delinsCC		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54727434C>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54727437_54727442del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54727436_54727454del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54727437T>C		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54727438G>A		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54727444TTG[1]		0.0	Pathogenic	no_assertion_criteria_provided
NC_000004.12:g.54727444_54727449del		0.0	Pathogenic	no_assertion_criteria_provided
NC_000004.12:g.54727444_54727488del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54727444T>A		0.0	Pathogenic	no_assertion_criteria_provided
NC_000004.12:g.54727444T>C		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54727447T>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54727449dup		0.0	Pathogenic	no_assertion_criteria_provided
NC_000004.12:g.54727483_54727524dup		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54727489_54727533dup		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54727490_54727534dup		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54727495T>C		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54727503_54727505del		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54727515G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54727519T>G		0.0	Pathogenic	no_assertion_criteria_provided
NC_000004.12:g.54727543G>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54727821A>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54727871C>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54727907T>C		0.0	Pathogenic	no_assertion_criteria_provided
NC_000004.12:g.54727909G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.54727928G>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.54728056_54728057del		0.0	Pathogenic	no_assertion_criteria_provided
