HGVS	dbSNP	gnomAD frequency	ClinVar_significance	Review_status
NC_000001.11:g.201039521T>A		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.201039668C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.201039727A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201039840T>C		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.201039861G>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.201039870G>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.201039879G>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.201039883C>T		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.201039888C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201039890G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201039897C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201039899C>T		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.201039900G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201039903G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201039922C>G		0.0	Benign	criteria_provided,_single_submitter
NC_000001.11:g.201039933C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201039938G>A		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.201039939G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201039943T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201039947G>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201039958_201039965del		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.201039960C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201039984C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201039987T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201039999G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040005A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040016C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040030A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040032G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040038G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040053C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040053_201040054inv		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040054A>G		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.201040059G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040059G>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.201040065G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040073G>T		0.0	Likely_benign	no_assertion_criteria_provided
NC_000001.11:g.201040093G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040096A>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040101G>A		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.201040215C>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040218G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040221C>T		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.201040224G>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.201040240C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040242G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040245G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040261T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040261T>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040276A>G		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.201040279C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.201040294G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040300G>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040309C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.201040321C>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.201040321C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.201040345C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040348A>C		0.0	Likely_benign	no_assertion_criteria_provided
NC_000001.11:g.201040348A>G		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.201040368T>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040372G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040380C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040382A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040385G>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040390A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040394G>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.201040428A>G		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.201040614A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000001.11:g.201040631G>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000001.11:g.201040642C>T		0.0	Benign	criteria_provided,_single_submitter
