HGVS	dbSNP	gnomAD frequency	ClinVar_significance	Review_status
NC_000017.11:g.70169388G>A		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70169683G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70169712C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70169740C>T		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70174655G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70174715A>G		0.0	Benign	criteria_provided,_single_submitter
NC_000017.11:g.70174817C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70174830T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70174877_70174878insTC		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70174878_70174879insGAGTAGT		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70174878A>T		0.0	Benign	criteria_provided,_single_submitter
NC_000017.11:g.70174897C>T		0.0	Benign	criteria_provided,_single_submitter
NC_000017.11:g.70174980G>A		0.0	Benign	criteria_provided,_single_submitter
NC_000017.11:g.70175026C>T		0.0	Benign	criteria_provided,_single_submitter
NC_000017.11:g.70175038C>T		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175045C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175048T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175055A>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175057C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175063C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175072C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175081A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175084A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175087A>G		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175090C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175099G>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175114A>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175120A>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175126C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175126C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175132G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175135C>T		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175138G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175141G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175153C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175156C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175165G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175171G>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175174C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175177C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175213C>T		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175225T>C		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175231G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175238C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175246C>G		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175246C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175252C>T		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175258C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175261C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175264G>A		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175264G>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175273C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175283C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175285G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175306C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175315C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175318C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175321G>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175324A>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175336T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175345G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175360T>C		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175361C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175363G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175366C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175372G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175393G>C		0.0	Benign	criteria_provided,_single_submitter
NC_000017.11:g.70175405T>C		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175411C>T		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175417C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175426C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175429G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175441C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175450T>C		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175456C>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175456C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175465C>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175471C>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175474T>C		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175492G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175492G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175504A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175516C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175528C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175537C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175549C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175552C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175570C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175603G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175609C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175618T>G		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175624C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175630C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175636C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175636C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175654C>T		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175663G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175699C>T		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175714T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175717T>C		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175723A>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175726A>G		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175729G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175735C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175738A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175762G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175789C>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175801T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175812T>C		0.0	Benign	criteria_provided,_single_submitter
NC_000017.11:g.70175813C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175828G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175831G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175834C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175849C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175867C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175888T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175897C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175903C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175921C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70175924G>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175963G>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70175984T>C		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70176023T>C		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70176032T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70176038G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70176041G>A		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70176044C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70176074C>T		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70176083C>T		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70176089C>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70176092C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70176095C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70176104T>G		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70176119C>T		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70176122A>G		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70176125A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70176143C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70176179T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70176185C>T		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70176203C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70176218A>G		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70176224A>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70176239G>A		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70176245G>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70176245G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70176245G>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70176251T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70176254C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70176266C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70176287A>G		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70176293C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70176299C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70176299C>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70176343G>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70176459G>A		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70176881C>T		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70176947G>A		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70176963GTT[4]		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70177155G>A		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70177392C>T		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70177448G>A		0.0	Benign/Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70177521A>G		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70177574C>T		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70177589C>T		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70177590A>G		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70177673G>A		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70177919A>C		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70178001dup		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70178044del		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70178041_70178044del		0.0	Benign	criteria_provided,_single_submitter
NC_000017.11:g.70178040_70178044del		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000017.11:g.70179075T>C		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70179081T>C		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000017.11:g.70179819T>C		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
