HGVS	dbSNP	gnomAD frequency	ClinVar_significance	Review_status
NC_000002.12:g.233758936%3D		0.0	Pathogenic	no_assertion_criteria_provided
NC_000002.12:g.233760203_233760205dup		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000002.12:g.233760235_233760236insTA		0.0	Pathogenic|other	criteria_provided,_multiple_submitters,_no_conflicts
NC_000002.12:g.233760289_233760304del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000002.12:g.233760303C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000002.12:g.233760331T>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000002.12:g.233760359dup		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000002.12:g.233760367_233760380del		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000002.12:g.233760432C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000002.12:g.233760451dup		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000002.12:g.233760509C>A		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000002.12:g.233760525_233760526insGTAC		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000002.12:g.233760534T>C		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_single_submitter
NC_000002.12:g.233760554AG[1]		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000002.12:g.233760587del		0.0	Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000002.12:g.233760640dup		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000002.12:g.233760667_233760668insGG		0.0	Pathogenic	no_assertion_criteria_provided
NC_000002.12:g.233760676dup		0.0	Pathogenic	no_assertion_criteria_provided
NC_000002.12:g.233760705del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000002.12:g.233760761_233760762insT		0.0	Pathogenic	no_assertion_criteria_provided
NC_000002.12:g.233760775_233760778dup		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000002.12:g.233760779_233760780del		0.0	Pathogenic	no_assertion_criteria_provided
NC_000002.12:g.233760797CTT[1]		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
