HGVS	dbSNP	gnomAD frequency	ClinVar_significance	Review_status
NC_000015.10:g.63042852T>G		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000015.10:g.63042871C>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63042914AAG[1]		0.0	Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63044040T>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63044073A>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63044075G>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63044091A>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63044096G>C		0.0	Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63044100C>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63056994G>A		0.0	Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63056995A>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63057020C>G		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63057028T>C		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63057033G>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63057036G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63057040T>C		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000015.10:g.63057085A>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63059576A>G		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000015.10:g.63059600G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63059604A>T		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000015.10:g.63059611G>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63059618C>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63059621G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63059649T>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63059663G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63059664A>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63059667G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63060872G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63060873C>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63060895G>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63060899G>A		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63060914G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63060915A>G		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63060915A>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63060917G>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63060935G>C		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000015.10:g.63061723G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63061747G>C		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000015.10:g.63061764G>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63061765T>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63062215_63062220del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63062219C>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63062231A>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63062261C>T		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000015.10:g.63062263G>A		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63062583C>G		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63062585C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63062597G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63062615A>G		0.0	Pathogenic	no_assertion_criteria_provided
NC_000015.10:g.63062622A>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63064082A>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000015.10:g.63064133T>C		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
