HGVS	dbSNP	gnomAD frequency	ClinVar_significance	Review_status
NC_000007.14:g.55019367T>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.55142310del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.55142329del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.55142351C>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.55142408C>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.55142410_55142425del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.55142438G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.55143403C>G		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.55143421_55143425del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.55146620del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.55146673_55146692del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.55151293G>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.55151363del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.55151363G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.55151363G>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.55152544A>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.55152626_55152627delinsTT		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000007.14:g.55154010G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.55154026C>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.55154060dup		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.55154140A>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.55154142del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.55154152del		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.55155915GT[1]		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000007.14:g.55155917G>T		0.0	Pathogenic	no_assertion_criteria_provided
