HGVS	dbSNP	gnomAD frequency	ClinVar_significance	Review_status
NC_000015.10:g.63042321C>A		0.0	Benign	criteria_provided,_single_submitter
NC_000015.10:g.63042410C>G		0.0	Benign	criteria_provided,_single_submitter
NC_000015.10:g.63042436C>G		0.0	Benign	criteria_provided,_single_submitter
NC_000015.10:g.63042489G>C		0.0	Benign	criteria_provided,_single_submitter
NC_000015.10:g.63042499C>G		0.0	Benign	criteria_provided,_single_submitter
NC_000015.10:g.63042556_63042557insAGGGCCG		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63042558A>C		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63042566G>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63042591C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63042624G>A		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63042641A>G		0.0	Benign	criteria_provided,_single_submitter
NC_000015.10:g.63042678T>G		0.0	Benign	criteria_provided,_single_submitter
NC_000015.10:g.63042705C>G		0.0	Benign	criteria_provided,_single_submitter
NC_000015.10:g.63042757C>T		0.0	Benign	criteria_provided,_single_submitter
NC_000015.10:g.63042789C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63042816T>C		0.0	Benign	criteria_provided,_single_submitter
NC_000015.10:g.63042838C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63042841C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63042844G>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63042850G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63042860C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63042862G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63042865G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63042868C>G		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63042874G>A		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63042877G>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63042880C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63042890C>A		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63042898G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63042904G>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63042904G>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63042907G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63042913C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63042916G>A		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63042922G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63042922G>C		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63042928A>G		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63042931C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63042932A>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63042934G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63042940G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63042952C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63042953T>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63042955C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63042958G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63042958G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63042958G>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63042959G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63042961C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63042962C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63042963T>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63043128_63043129insTGT		0.0	Benign	criteria_provided,_single_submitter
NC_000015.10:g.63043478G>T		0.0	Benign	criteria_provided,_single_submitter
NC_000015.10:g.63043688G>C		0.0	Benign	criteria_provided,_single_submitter
NC_000015.10:g.63043692G>T		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63043693C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63043696C>T		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63043708C>G		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63043711G>A		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63043720C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63043729G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63043750G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63043759G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63043761G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63043765C>T		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63043771G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63043783G>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63043789G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63043792G>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63043800G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63043801C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63043813C>G		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000015.10:g.63043813_63043816delinsT		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63043814_63043816delinsTT		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63043834A>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000015.10:g.63043835C>T		0.0	Likely_benign	criteria_provided,_single_submitter
