HGVS	dbSNP	gnomAD frequency	ClinVar_significance	Review_status
NC_000014.9:g.101964952G>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000014.9:g.101979389dup		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000014.9:g.101979787T>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000014.9:g.101979796A>C		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000014.9:g.101979951C>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000014.9:g.101980380G>C		0.0	Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000014.9:g.101980380G>T		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000014.9:g.101980463C>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000014.9:g.101980504A>T		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000014.9:g.101980506A>G		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000014.9:g.101980514C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000014.9:g.101980515G>A		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000014.9:g.101980533G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000014.9:g.101983069G>C		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000014.9:g.101983070A>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000014.9:g.101983070A>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000014.9:g.101983239del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000014.9:g.101983252A>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000014.9:g.101983487A>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000014.9:g.101983499C>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000014.9:g.101983544A>G		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000014.9:g.101983555T>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000014.9:g.101985903G>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000014.9:g.101985927C>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000014.9:g.101985931G>C		0.0	Pathogenic/Likely_pathogenic	no_assertion_criteria_provided
NC_000014.9:g.101985963G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000014.9:g.101985964A>C		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000014.9:g.101985966A>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000014.9:g.101986002G>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000014.9:g.101986017C>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000014.9:g.101986018G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000014.9:g.101986018G>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000014.9:g.101986018G>T		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000014.9:g.101986020G>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000014.9:g.101986027T>A		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000014.9:g.101986033A>T		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000014.9:g.101986050A>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000014.9:g.101986059G>A		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
