HGVS	dbSNP	gnomAD frequency	ClinVar_significance	Review_status
NC_000004.12:g.1799395C>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1801671C>T		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1801837C>T		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1801841C>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.1801841C>G		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1801844C>G		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1801886C>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.1801897G>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.1801928A>G		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1801930A>T		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1801945del		0.0	Pathogenic	no_assertion_criteria_provided
NC_000004.12:g.1803725G>A		0.0	Pathogenic	no_assertion_criteria_provided
NC_000004.12:g.1803731C>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.1803738T>G		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.1803785G>T		0.0	Pathogenic	no_assertion_criteria_provided
NC_000004.12:g.1803792C>G		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1803804C>G		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.1803813C>G		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1803813C>T		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1804362G>T		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1804365A>T		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1804372A>G		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1804377G>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.1804392G>A		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1804392G>C		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1804398G>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.1804426C>A		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1804437C>A		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.1804450G>A		0.0	Pathogenic	no_assertion_criteria_provided
NC_000004.12:g.1805642A>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.1805642A>G		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1805643A>C		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1805643A>G		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1805644C>A		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1805644C>G		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1805657_1805658del		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000004.12:g.1805661C>A		0.0	Pathogenic	no_assertion_criteria_provided
NC_000004.12:g.1806076G>A		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.1806124G>A		0.0	Pathogenic	no_assertion_criteria_provided
NC_000004.12:g.1806162A>C		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1806162A>G		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1806163A>C		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1806163A>T		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1806164G>C		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1806164G>T		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.1806168A>G		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.1806604G>A		0.0	Pathogenic	no_assertion_criteria_provided
NC_000004.12:g.1807128C>T		0.0	Likely_pathogenic	no_assertion_criteria_provided
NC_000004.12:g.1807249del		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.1807248_1807267delinsCCCTG		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.1807260T>A		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1807260T>C		0.0	Likely_pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.1807260T>G		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1807261G>C		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1807261G>T		0.0	Pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1807262A>C		0.0	Pathogenic	criteria_provided,_single_submitter
NC_000004.12:g.1807262A>G		0.0	Pathogenic/Likely_pathogenic	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1807262A>T		0.0	Pathogenic	criteria_provided,_single_submitter
