HGVS	dbSNP	gnomAD frequency	ClinVar_significance	Review_status
NC_000004.12:g.1793594C>A		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1793606C>T		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1793652G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.1793815_1793822del		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1793824C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.1793830T>C		0.0	Benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1793921C>T		0.0	Benign	criteria_provided,_single_submitter
NC_000004.12:g.1793940C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.1793949C>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.1793955C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1793964C>T		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1793973C>G		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.1794000G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.1794003G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.1794006C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.1794009G>A		0.0	Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
NC_000004.12:g.1794015G>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.1794018G>A		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.1794021G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.1794053G>C		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.1794055C>T		0.0	Likely_benign	criteria_provided,_single_submitter
NC_000004.12:g.1794069G>A		0.0	Benign/Likely_benign	criteria_provided,_multiple_submitters,_no_conflicts
